M1	Pi	M2	MWD	Pf	N
1.0	39.54030482100136	0.1799999999999999	0.3093655241886408	0.0767038014954817	53719
1.0	39.54030482100136	0.1899999999999999	0.30936552604709094	0.07670380154524244	54598
1.0	44.80395762798901	0.1799999999999999	0.3100476505268925	0.07672206569676872	54936
1.0	44.80395762798901	0.1899999999999999	0.3100476542679617	0.07672206579693733	55834
1.0	50.76831421047697	0.1799999999999999	0.3106214212415029	0.0767374286335688	56152
1.0	50.76831421047697	0.1899999999999999	0.3106214465367912	0.07673742931086011	57070
1.0	57.526653095565	0.1799999999999999	0.30974562287854607	0.07671397878756392	57368
1.0	57.526653095565	0.1899999999999999	0.3097456254612081	0.07671397885671571	58306
1.0	65.1846701597695	0.1799999999999999	0.3087532046071528	0.07668740639759274	58585
1.0	65.1846701597695	0.1899999999999999	0.3087532058873145	0.07668740643186957	59543
1.05	44.58705662430653	0.1781818181818181	0.3100195111921112	0.07672131225500037	48334
1.05	44.58705662430653	0.1879545454545454	0.3100195151534706	0.07672131236106733	49109
1.05	44.58705662430653	0.1977272727272727	0.3100195168284145	0.07672131240591461	49857
1.05	44.58705662430653	0.2075	0.3100195162169266	0.07672131238954179	50579
1.05	50.5021116115637	0.1781818181818181	0.31065556985344406	0.0767383429760992	49377
1.05	50.5021116115637	0.1879545454545454	0.31065561232429617	0.07673834411327299	50169
1.05	50.5021116115637	0.1977272727272727	0.3106556302900677	0.0767383445943136	50933
1.05	50.5021116115637	0.2075	0.31065562373056327	0.07673834441868028	51670
1.05	57.20187584296509	0.1781818181818181	0.30978768817634633	0.07671510510247531	50420
1.05	57.20187584296509	0.1879545454545454	0.3097876911537736	0.0767151051821971	51229
1.05	57.20187584296509	0.1977272727272727	0.30978769241268866	0.07671510521590504	52009
1.05	57.20187584296509	0.2075	0.30978769195308453	0.07671510520359896	52762
1.05	64.79045124134524	0.1781818181818181	0.30880428101069507	0.0766887739884084	51464
1.05	64.79045124134524	0.1879545454545454	0.30880428246051594	0.07668877402722792	52289
1.05	64.79045124134524	0.1977272727272727	0.30880428307352775	0.07668877404364155	53085
1.05	64.79045124134524	0.2075	0.30880428284972977	0.07668877403764927	53854
1.1	44.38932076608368	0.1766666666666667	0.30999380000776805	0.07672062382791607	42889
1.1	44.38932076608368	0.18625	0.30999380411129795	0.0767206239377897	43565
1.1	44.38932076608368	0.1958333333333333	0.30999380609391064	0.07672062399087493	44217
1.1	44.38932076608368	0.2054166666666667	0.3099938059555886	0.0767206239871713	44847
1.1	44.38932076608368	0.215	0.3099938036963332	0.07672062392667885	45456
1.1	44.38932076608368	0.2245833333333333	0.30999379931616416	0.0767206238093981	46047
1.1	50.25952439814833	0.1766666666666667	0.3106848532352147	0.07673912705017615	43792
1.1	50.25952439814833	0.18625	0.31068493583508483	0.0767391292618202	44482
1.1	50.25952439814833	0.1958333333333333	0.31068497581070204	0.07673913033218309	45148
1.1	50.25952439814833	0.2054166666666667	0.310684973020267	0.07673913025746809	45791
1.1	50.25952439814833	0.215	0.3106849274736982	0.07673912903794078	46413
1.1	50.25952439814833	0.2245833333333333	0.31068483933245633	0.07673912667792432	47016
1.1	56.906024898180256	0.1766666666666667	0.3098259560263187	0.0767161297392259	44695
1.1	56.906024898180256	0.18625	0.30982595936034646	0.0767161298284958	45400
1.1	56.906024898180256	0.1958333333333333	0.3098259609711733	0.07671612987162632	46079
1.1	56.906024898180256	0.2054166666666667	0.30982596085878994	0.07671612986861721	46735
1.1	56.906024898180256	0.215	0.30982595902319704	0.07671612981946849	47370
1.1	56.906024898180256	0.2245833333333333	0.3098259554644051	0.07671612972418043	47986
1.1	64.43148255958461	0.1766666666666667	0.3088507662807895	0.07669001864981828	45598
1.1	64.43148255958461	0.18625	0.308850767876385	0.07669001869254098	46317
1.1	64.43148255958461	0.1958333333333333	0.3088507686472911	0.07669001871318229	47010
1.1	64.43148255958461	0.2054166666666667	0.30885076859350696	0.0766900187117422	47679
1.1	64.43148255958461	0.215	0.30885076771503256	0.0766900186882207	48327
1.1	64.43148255958461	0.2245833333333333	0.30885076601186906	0.07669001864261783	48955
1.15	44.208837226262496	0.1784	0.30997027557199563	0.07671999395188575	38437
1.15	44.208837226262496	0.1882	0.30997027923306847	0.07671999404991242	39046
1.15	44.208837226262496	0.1980000000000001	0.30997028074573246	0.07671999409041459	39633
1.15	44.208837226262496	0.2078	0.30997028010997474	0.07671999407339193	40200
1.15	44.208837226262496	0.2176	0.30997027732580074	0.07671999399884458	40748
