M1	Pi	M2	MWD	Pf	N
1.0	39.54030482100136	0.1799999999999999	0.3109573848788739	0.07210088181075745	54630
1.0	39.54030482100136	0.1899999999999999	0.31095738647428456	0.07210088185568335	55523
1.0	39.54030482100136	0.3	0.3058720401521922	0.1040451099094343	63677
1.0	39.54030482100136	0.3091359396681201	0.3058720397027606	0.10404510993185621	62729
1.0	39.54030482100136	0.3182718793362403	0.30587203835446686	0.10404510999912191	61822
1.0	44.80395762798901	0.1799999999999999	0.31154296507408	0.07211737142673497	55867
1.0	44.80395762798901	0.1899999999999999	0.31154296828564937	0.07211737151717099	56780
1.0	44.80395762798901	0.3	0.3064649565911294	0.10401552961025977	65119
1.0	44.80395762798901	0.3091359396681201	0.30646495568641874	0.10401552965539532	64149
1.0	44.80395762798901	0.3182718793362403	0.3064649529722953	0.10401552979080156	63222
1.0	50.76831421047697	0.1799999999999999	0.3120355259799178	0.07213124167072424	57104
1.0	50.76831421047697	0.1899999999999999	0.31203554769498587	0.0721312422822086	58037
1.0	50.76831421047697	0.3	0.3069637115262257	0.10399064698055671	66561
1.0	50.76831421047697	0.3091359396681201	0.3069637054079578	0.10399064728579399	65570
1.0	50.76831421047697	0.3182718793362403	0.3069636870557485	0.10399064820137637	64622
1.0	57.526653095565	0.1799999999999999	0.3112836855251776	0.07211007025735248	58341
1.0	57.526653095565	0.1899999999999999	0.31128368774229737	0.07211007031978536	59295
1.0	57.526653095565	0.3	0.3062024283694876	0.10402862700953554	68003
1.0	57.526653095565	0.3091359396681201	0.30620242774491824	0.10402862704069497	66990
1.0	57.526653095565	0.3182718793362403	0.30620242587121305	0.10402862713417317	66022
1.0	65.1846701597695	0.1799999999999999	0.31043173119868434	0.07208607969245762	59578
1.0	65.1846701597695	0.1899999999999999	0.31043173229765575	0.07208607972340404	60552
1.0	65.1846701597695	0.3	0.30533980228575336	0.10407166298552965	69444
1.0	65.1846701597695	0.3091359396681201	0.3053398019761702	0.10407166300097459	68411
1.0	65.1846701597695	0.3182718793362403	0.3053398010474211	0.10407166304730942	67422
1.0	73.86213164147249	0.1	0.3488110508160804	0.0694796431238592	50983
1.0	73.86213164147249	0.11	0.3488110602654846	0.06947964348458117	52462
1.0	73.86213164147249	0.12	0.3488110687202886	0.06947964380733525	53849
1.0	83.69474720437096	0.1	0.3497899886049263	0.06951701313924462	52020
1.0	83.69474720437096	0.11	0.34979020720576015	0.06951702148412273	53529
1.0	83.69474720437096	0.12	0.3497904037180867	0.06951702898579316	54945
1.0	94.83629234537908	0.1	0.3388994952720132	0.049357149176213665	53057
1.0	94.83629234537908	0.11	0.3388994946105477	0.04935714911642083	54596
1.0	94.83629234537908	0.12	0.33889949262615454	0.0493571489370426	56040
1.0	107.46101334001642	0.1	0.33759070585876794	0.04923884181253368	54094
1.0	107.46101334001642	0.11	0.3375907056054355	0.04923884178963382	55663
1.0	107.46101334001642	0.12	0.33759070484543835	0.049238841720934255	57135
1.05	44.58705662430653	0.1781818181818181	0.31151880849746044	0.0721166911908338	49153
1.05	44.58705662430653	0.1879545454545454	0.31151881189814074	0.07211669128659509	49942
1.05	44.58705662430653	0.1977272727272727	0.31151881333601805	0.07211669132708493	50702
1.05	44.58705662430653	0.2075	0.31151881281107835	0.0721166913123029	51436
1.05	44.58705662430653	0.315	0.3064404957431532	0.10401674994950773	58249
1.05	44.58705662430653	0.3243222772417644	0.3064404919291426	0.10401675013978678	57406
1.05	50.5021116115637	0.1781818181818181	0.31206484129839357	0.07213206717395655	50214
1.05	50.5021116115637	0.1879545454545454	0.312064877758047	0.07213206820064033	51019
1.05	50.5021116115637	0.1977272727272727	0.3120648931809964	0.07213206863494209	51796
1.05	50.5021116115637	0.2075	0.31206488754990475	0.07213206847637366	52546
1.05	50.5021116115637	0.315	0.306993392685735	0.103989166202625	59507
1.05	50.5021116115637	0.3243222772417644	0.30699335180241716	0.1039891682422729	58645
1.05	57.20187584296509	0.1781818181818181	0.3113197970252268	0.0721110871373171	51275
1.05	57.20187584296509	0.1879545454545454	0.3113197995812378	0.07211108720929298	52097
1.05	57.20187584296509	0.1977272727272727	0.31131980066196974	0.07211108723972579	52890
1.05	57.20187584296509	0.2075	0.3113198002674166	0.0721110872286154	53656
1.05	57.20187584296509	0.315	0.30623899111566655	0.10402680291274956	60764
1.05	57.20187584296509	0.3243222772417644	0.3062389882489871	0.10402680305576674	59884
1.05	64.79045124134524	0.1781818181818181	0.31047557839923867	0.07208731440549052	52336
1.05	64.79045124134524	0.1879545454545454	0.3104755796438562	0.07208731444053826	53175
1.05	64.79045124134524	0.1977272727272727	0.3104755801701041	0.07208731445535711	53985
1.05	64.79045124134524	0.2075	0.31047557997798186	0.07208731444994705	54766
1.05	64.79045124134524	0.315	0.30538419812005413	0.10406944809996656	62021
1.05	64.79045124134524	0.3243222772417644	0.30538419672415956	0.10406944816960703	61123
1.05	73.38575020828445	0.1	0.348763142922539	0.0694778142857664	44953
1.05	73.38575020828445	0.1097727272727272	0.34876315175472083	0.0694778146229265	46220
1.05	73.38575020828445	0.1195454545454545	0.34876315967947635	0.06947781492544647	47409
1.05	83.12132776436124	0.1	0.3497416150977958	0.06951516652679762	45846
1.05	83.12132776436124	0.1097727272727272	0.3497417171959473	0.06951517042429708	47138
1.05	83.12132776436124	0.1195454545454545	0.34974180889962336	0.06951517392499734	48351
1.05	94.14845674672132	0.1	0.3389707842212124	0.04936359330508109	46739
1.05	94.14845674672132	0.1097727272727272	0.3389707835287018	0.04936359324248194	48056
1.05	94.14845674672132	0.1195454545454545	0.3389707814511739	0.049363593054684844	49293
1.05	106.63847830868892	0.1	0.3376759704627499	0.04924654926371737	47632
1.05	106.63847830868892	0.1097727272727272	0.3376759702106688	0.04924654924093063	48974
1.05	106.63847830868892	0.1195454545454545	0.3376759694544257	0.04924654917257041	50235
1.1	44.38932076608368	0.1766666666666667	0.31149673639805253	0.07211606965266357	43616
1.1	44.38932076608368	0.18625	0.311496739920781	0.07211606975186166	44304
1.1	44.38932076608368	0.1958333333333333	0.3114967416227805	0.07211606979978903	44966
1.1	44.38932076608368	0.2054166666666667	0.3114967415040362	0.07211606979644526	45607
1.1	44.38932076608368	0.215	0.31149673956454915	0.07211606974183037	46227
1.1	44.38932076608368	0.2245833333333333	0.31149673580433623	0.07211606963594484	46827
1.1	50.25952439814833	0.1766666666666667	0.31208997999697763	0.07213277506587165	44534
1.1	50.25952439814833	0.18625	0.3120900509059066	0.07213277706262805	45236
1.1	50.25952439814833	0.1958333333333333	0.31209008522349324	0.07213277802899241	45913
1.1	50.25952439814833	0.2054166666666667	0.3120900828280081	0.07213277796153686	46567
1.1	50.25952439814833	0.215	0.31209004372796584	0.0721327768605012	47200
1.1	50.25952439814833	0.2245833333333333	0.3120899680619745	0.07213277472978853	47813
1.1	56.906024898180256	0.1766666666666667	0.3113526485569743	0.07211201221836873	45453
1.1	56.906024898180256	0.18625	0.31135265141911367	0.072112012298965	46169
1.1	56.906024898180256	0.1958333333333333	0.31135265280194885	0.07211201233790487	46860
1.1	56.906024898180256	0.2054166666666667	0.3113526527054719	0.07211201233518813	47527
1.1	56.906024898180256	0.215	0.31135265112968336	0.07211201229081479	48173
1.1	56.906024898180256	0.2245833333333333	0.31135264807459234	0.07211201220478512	48799
1.1	64.43148255958461	0.1766666666666667	0.31051548428178516	0.07208843813317772	46371
1.1	64.43148255958461	0.18625	0.31051548565154474	0.0720884381717494	47102
1.1	64.43148255958461	0.1958333333333333	0.3105154863133391	0.07208843819038516	47807
1.1	64.43148255958461	0.2054166666666667	0.3105154862671674	0.07208843818908499	48488
1.1	64.43148255958461	0.215	0.31051548551302965	0.07208843816784889	49146
1.1	64.43148255958461	0.2245833333333333	0.3105154840509269	0.07208843812667688	49785
1.1	72.9521338426647	0.1	0.34871951274840657	0.0694761487455276	39958
1.1	72.9521338426647	0.1095833333333333	0.34871952107874177	0.0694761490635302	41055
1.1	72.9521338426647	0.1191666666666666	0.3487195285706282	0.0694761493495258	42087
1.1	82.59958673582284	0.1	0.34969125711900356	0.06951324415903976	40734
1.1	82.59958673582284	0.1095833333333333	0.3496913220427727	0.06951324663744264	41853
1.1	82.59958673582284	0.1191666666666666	0.34969138045672915	0.06951324886733966	42904
1.1	93.52285354179176	0.1	0.33903557840818416	0.04936945034316899	41510
1.1	93.52285354179176	0.1095833333333333	0.339035577678454	0.0493694502772054	42650
1.1	93.52285354179176	0.1191666666666666	0.3390355754892683	0.04936945007931506	43722
1.1	105.89065248683777	0.1	0.3377534758123378	0.049253555320985284	42286
1.1	105.89065248683777	0.1095833333333333	0.3377534755603392	0.049253555298206	43447
1.1	105.89065248683777	0.1191666666666666	0.3377534748043436	0.04925355522986816	44539
1.15	44.208837226262496	0.1784	0.3114765415412948	0.07211550097661307	39088
1.15	44.208837226262496	0.1882	0.3114765446841901	0.07211550106511527	39708
1.15	44.208837226262496	0.1980000000000001	0.3114765459827562	0.07211550110168219	40305
1.15	44.208837226262496	0.2078	0.3114765454369817	0.07211550108631347	40881
1.15	44.208837226262496	0.2176	0.31147654304687145	0.07211550101900928	41439
1.15	44.208837226262496	0.2274000000000001	0.3092965443366819	0.08829463124937226	41979
1.15	44.208837226262496	0.2372000000000001	0.30929654768568043	0.08829463121027091	42503
1.15	50.03818133884703	0.1784	0.3121036435206548	0.07213315982317761	39891
1.15	50.03818133884703	0.1882	0.3121037604151246	0.07213316311486155	40524
1.15	50.03818133884703	0.1980000000000001	0.3121038089444845	0.07213316448142161	41133
1.15	50.03818133884703	0.2078	0.31210378853144644	0.0721331639066017	41721
1.15	50.03818133884703	0.2176	0.31210369941962224	0.07213316139726177	42290
1.15	50.03818133884703	0.2274000000000001	0.3099270021548028	0.08828727031642149	42842
1.15	50.03818133884703	0.2372000000000001	0.3099271266268508	0.08828726886314361	43376
1.15	56.6361783931275	0.1784	0.3113825614741348	0.07211285454965108	40695
1.15	56.6361783931275	0.1882	0.31138256421705285	0.07211285462689014	41340
1.15	56.6361783931275	0.1980000000000001	0.3113825653503573	0.07211285465880336	41961
1.15	56.6361783931275	0.2078	0.3113825648740407	0.07211285464539055	42561
1.15	56.6361783931275	0.2176	0.3113825627881063	0.07211285458665179	43142
1.15	56.6361783931275	0.2274000000000001	0.30920205909879706	0.08829573441516848	43704
