M1	Pi	M2	MWD	Pf	N
1.0	39.54030482100136	0.3	0.32531221335783234	0.04334705652731992	73269
1.0	39.54030482100136	0.3091359396681201	0.3253122128101755	0.04334705642006398	72178
1.0	39.54030482100136	0.3182718793362403	0.3253122111672063	0.04334705609829641	71135
1.0	44.80395762798901	0.3	0.3260347142529171	0.043488554834996716	74928
1.0	44.80395762798901	0.3091359396681201	0.326034713150478	0.04348855461908936	73812
1.0	44.80395762798901	0.3182718793362403	0.3260347098431711	0.04348855397136929	72745
1.0	50.76831421047697	0.3	0.32664247423960413	0.043607581690430317	76587
1.0	50.76831421047697	0.3091359396681201	0.32664246678416226	0.04360758023031806	75447
1.0	50.76831421047697	0.3182718793362403	0.32664244442099816	0.043607575850600475	74356
1.0	57.526653095565	0.3	0.3257148093512057	0.043425903006441745	78246
1.0	57.526653095565	0.3091359396681201	0.3257148085901341	0.043425902857389544	77081
1.0	57.526653095565	0.3182718793362403	0.3257148063069225	0.043425902410233586	75967
1.0	65.1846701597695	0.3	0.32466365260011515	0.04322003903811418	79905
1.0	65.1846701597695	0.3091359396681201	0.3246636522228713	0.04322003896423279	78715
1.0	65.1846701597695	0.3182718793362403	0.32466365109114004	0.0432200387425887	77577
1.0	73.86213164147249	0.1799999999999999	0.363744374276814	0.04148278173557951	69975
1.0	73.86213164147249	0.1899999999999999	0.3637443817553535	0.041482785177838294	71120
1.0	83.69474720437096	0.1799999999999999	0.3643840928758713	0.04177723454433628	71399
1.0	83.69474720437096	0.1899999999999999	0.3643842640271859	0.0417773133227013	72566
1.0	94.83629234537908	0.1799999999999999	0.33773837567405524	0.06785915587967795	72822
1.0	94.83629234537908	0.1899999999999999	0.33773837787065214	0.06785915552153525	74013
1.0	107.46101334001642	0.1799999999999999	0.33628963097125486	0.06809536550859098	74245
1.0	107.46101334001642	0.1899999999999999	0.33628963181252336	0.06809536537142691	75459
1.05	44.58705662430653	0.315	0.32600490738065524	0.043482717303152986	67024
1.05	44.58705662430653	0.3243222772417644	0.3260049027330761	0.04348271639294707	66053
1.05	50.5021116115637	0.315	0.3266786423450982	0.043614665039051884	68470
1.05	50.5021116115637	0.3243222772417644	0.3266785925265541	0.043614655282330855	67479
1.05	57.20187584296509	0.315	0.325759363043946	0.04343462863178891	69917
1.05	57.20187584296509	0.3243222772417644	0.32575935955074137	0.04343462794766167	68905
1.05	64.79045124134524	0.315	0.324717751336318	0.043230634014081996	71363
1.05	64.79045124134524	0.3243222772417644	0.32471774963534455	0.04323063368095458	70330
1.05	73.38575020828445	0.1781818181818181	0.3637130512200529	0.041468364205659726	61440
1.05	73.38575020828445	0.1879545454545454	0.3637130583190337	0.04146836747321337	62426
1.05	73.38575020828445	0.1977272727272727	0.3637130648247712	0.0414683704677061	63376
1.05	73.38575020828445	0.2075	0.363713070737249	0.041468373189130305	64293
1.05	83.12132776436124	0.1781818181818181	0.3643526209945224	0.04176274851270661	62661
1.05	83.12132776436124	0.1879545454545454	0.36435270283483095	0.04176278618256449	63666
1.05	83.12132776436124	0.1977272727272727	0.3643527779322307	0.04176282074876332	64635
1.05	83.12132776436124	0.2075	0.3643528462616396	0.041762852199758185	65571
1.05	94.14845674672132	0.1781818181818181	0.3378172871076776	0.0678462898167913	63882
1.05	94.14845674672132	0.1879545454545454	0.33781728976390807	0.06784628938370794	64906
1.05	94.14845674672132	0.1977272727272727	0.3378172908870148	0.06784628920059174	65894
1.05	94.14845674672132	0.2075	0.3378172904769915	0.06784628926744372	66848
1.05	106.63847830868892	0.1781818181818181	0.3363840131873435	0.06807997702213427	65102
1.05	106.63847830868892	0.1879545454545454	0.3363840141542413	0.06807997686448705	66146
1.05	106.63847830868892	0.1977272727272727	0.336384014563064	0.06807997679783082	67153
1.05	106.63847830868892	0.2075	0.3363840144138112	0.06807997682216563	68126
1.1	72.9521338426647	0.1766666666666667	0.3636845251551915	0.04145523408886527	54413
1.1	72.9521338426647	0.18625	0.3636845319362373	0.04145523721007821	55270
1.1	72.9521338426647	0.1958333333333333	0.3636845381691346	0.04145524007898672	56097
1.1	72.9521338426647	0.2054166666666667	0.3636845438538695	0.041455242695584316	56896
1.1	72.9521338426647	0.215	0.36368454899042907	0.04145524505986511	57669
1.1	72.9521338426647	0.2245833333333333	0.36368455357880175	0.04145524717182376	58418
1.1	82.59958673582284	0.1766666666666667	0.36431974911328635	0.041747618082274625	55469
1.1	82.59958673582284	0.18625	0.3643198018980658	0.04174764237831133	56343
1.1	82.59958673582284	0.1958333333333333	0.36431985044180004	0.04174766472225901	57186
1.1	82.59958673582284	0.2054166666666667	0.3643198947378848	0.041747685111077765	58001
