M1	Pi	M2	MWD	Pf	N
1.0	73.86213164147249	0.1799999999999999	0.345764546955565	0.041040083395962844	165602
1.0	73.86213164147249	0.1899999999999999	0.3457645480090109	0.04104008402883302	168310
1.0	83.69474720437096	0.1799999999999999	0.34667176829223767	0.041585107427559005	168970
1.0	83.69474720437096	0.1899999999999999	0.34667177247947717	0.041585109943093064	171733
1.0	94.83629234537908	0.1799999999999999	0.3462537062901184	0.041333951696711786	172339
1.0	94.83629234537908	0.1899999999999999	0.3462537080562617	0.04133395275774344	175157
1.0	107.46101334001642	0.1799999999999999	0.34508886315685283	0.04063415830009924	175707
1.0	107.46101334001642	0.1899999999999999	0.3450888638332631	0.04063415870646077	178580
1.0	121.76635233701076	0.1	0.3856806384770657	0.05863924393002785	150125
1.0	121.76635233701076	0.11	0.38568063755889315	0.05863924451109401	154480
1.0	121.76635233701076	0.12	0.3856806367040402	0.058639245052088326	158565
1.0	137.97603522076352	0.1	0.3854627771316528	0.058777117637886026	152949
1.0	137.97603522076352	0.11	0.38546277325905387	0.058777120088663	157386
1.0	137.97603522076352	0.12	0.38546276965333165	0.0587771223705469	161548
1.0	156.34357053377042	0.1	0.37183708749179784	0.04215845494024708	155773
1.0	156.34357053377042	0.11	0.3718370873325626	0.04215845457747872	160291
1.0	156.34357053377042	0.12	0.3718370868548579	0.042158453489175664	164531
1.0	177.15621417979145	0.1	0.37135033988751853	0.04104955052127241	158597
1.0	177.15621417979145	0.11	0.37135033984598753	0.041049550426656846	163197
1.0	177.15621417979145	0.12	0.3713503397213946	0.041049550142810184	167513
1.0	200.73946191306345	0.1	0.47511181922280166	0.04286021989317948	161421
1.0	200.73946191306345	0.11	0.475111800447733	0.04286022367433524	166103
1.0	200.73946191306345	0.12	0.47511178243894947	0.042860227301167016	170496
1.05	73.38575020828445	0.1781818181818181	0.3457205840104621	0.0410136721326776	145402
1.05	73.38575020828445	0.1879545454545454	0.34572058513188275	0.04101367280638444	147734
1.05	73.38575020828445	0.1977272727272727	0.3457205856060408	0.041013673091240536	149982
1.05	73.38575020828445	0.2075	0.3457205854329355	0.041013672987245446	152154
1.05	83.12132776436124	0.1781818181818181	0.3466188308129447	0.041553304605887485	148291
1.05	83.12132776436124	0.1879545454545454	0.3466188347488254	0.04155330697041473	150669
1.05	83.12132776436124	0.1977272727272727	0.34661883641300273	0.04155330797018911	152962
1.05	83.12132776436124	0.2075	0.346618835805445	0.041553307605191575	155177
1.05	94.14845674672132	0.1781818181818181	0.34631715393649354	0.04137206862653345	151179
1.05	94.14845674672132	0.1879545454545454	0.3463171560721989	0.04137206990958389	153604
1.05	94.14845674672132	0.1977272727272727	0.3463171569752173	0.04137207045208298	155942
1.05	94.14845674672132	0.2075	0.3463171566455438	0.04137207025402767	158200
1.05	106.63847830868892	0.1781818181818181	0.34516474987181417	0.04067974814864108	154068
1.05	106.63847830868892	0.1879545454545454	0.34516475064923496	0.04067974861568589	156539
1.05	106.63847830868892	0.1977272727272727	0.3451647509779432	0.040679748813161276	158922
1.05	106.63847830868892	0.2075	0.34516475085793863	0.040679748741067084	161223
1.05	120.78546424382836	0.1	0.3856938188570462	0.058630902717154834	132137
1.05	120.78546424382836	0.1097727272727272	0.3856938179986567	0.05863090326038722	135860
1.05	120.78546424382836	0.1195454545454545	0.38569381719807355	0.05863090376703684	139357
1.05	136.80923250203958	0.1	0.38547840932497246	0.05876722479319231	134569
1.05	136.80923250203958	0.1097727272727272	0.38547840624787777	0.05876722674053386	138361
1.05	136.80923250203958	0.1195454545454545	0.3854784033779087	0.05876722855679584	141922
1.05	154.95876275322146	0.1	0.37186946923893704	0.04223222677226245	137001
