i	M1	Pi	M2	MWD	Pf	CV?
26	1.0	50.0	0.2	0.3092610624089138	0.0814148010249978	yes
27	1.0	50.0	0.25	0.306937092437	0.1016516800044292	no
28	1.0	50.0	0.3	0.305685310603	0.12689739408439504	no
32	1.0	87.0	0.1	0.33907345524800003	0.07488538652424938	no
33	1.0	87.0	0.15	0.33581424632	0.12795026293844494	no
34	1.0	87.0	0.2	0.33350216242400005	0.17834117910326336	no
35	1.0	87.0	0.25	0.331770209767	0.2270902276504461	no
36	1.0	87.0	0.3	0.33037727213	0.2743980263997794	no
40	1.0	149.0	0.1	0.367729117045	0.16710771378444875	no
41	1.0	149.0	0.15	0.3639868494679999	0.26687664095262265	no
42	1.0	149.0	0.2	0.36139639265500006	0.3653759590655125	no
43	1.0	149.0	0.25	0.359392392222	0.4617508252670307	no
44	1.0	149.0	0.3	0.357748934706	0.5557288086123084	no
45	1.0	149.0	0.35	0.356441895959	0.6476227312515584	no
48	1.0	257.0	0.1	0.402250661367	0.35102693403465257	no
49	1.0	257.0	0.15	0.3976703707759999	0.5547759514815954	no
50	1.0	257.0	0.2	0.39447729163800005	0.7567879158593863	no
51	1.0	257.0	0.25	0.39213669365000003	0.9553845019480631	no
52	1.0	257.0	0.3	0.390245987314	1.1494343698345268	no
53	1.0	257.0	0.35	0.388621588644	1.3384916041561377	no
56	1.0	442.0	0.1	0.44357382963	0.7480615149971994	no
57	1.0	442.0	0.15	0.438103569035	1.1786783459763492	no
58	1.0	442.0	0.2	0.434314864228	1.6060088803813362	no
59	1.0	442.0	0.25	0.431382337835	2.0247139125446134	no
60	1.0	442.0	0.3	0.428995319043	2.4332494866445797	no
61	1.0	442.0	0.35	0.427149775887	2.833801650172691	no
62	1.0	442.0	0.4	0.425654856178	3.2244665318735795	no
114	1.3	84.0	0.2	0.3466876606787544	0.0786601579505552	yes
115	1.3	84.0	0.25	0.343723149352	0.09597156932737813	no
116	1.3	84.0	0.3	0.34217425174	0.1216100427988822	no
120	1.3	143.0	0.1	0.38197710476	0.06557604764066786	no
121	1.3	143.0	0.15	0.377967694589	0.11762317125911362	no
122	1.3	143.0	0.2	0.375173390914	0.1665190011468534	no
123	1.3	143.0	0.25	0.372968445602	0.21376549892928065	no
124	1.3	143.0	0.3	0.371138717917	0.25964357708714353	no
125	1.3	143.0	0.35	0.3697395748069999	0.3045365662163501	no
128	1.3	244.0	0.1	0.418540381527	0.15399521730713395	no
129	1.3	244.0	0.15	0.413785582052	0.249260121374654	no
130	1.3	244.0	0.2	0.410266382704	0.34365465049785243	no
131	1.3	244.0	0.25	0.40767183709699994	0.4367308905861543	no
132	1.3	244.0	0.3	0.405600272477	0.5280414979757938	no
133	1.3	244.0	0.35	0.403765665001	0.6171402240714429	no
136	1.3	417.0	0.1	0.463727168834	0.32500790959526105	no
137	1.3	417.0	0.15	0.457776938891	0.5188640261401015	no
138	1.3	417.0	0.2	0.45343466946	0.7123529731108904	no
139	1.3	417.0	0.25	0.450215382615	0.9036810808849142	no
140	1.3	417.0	0.3	0.44753350261499997	1.091136636827464	no
141	1.3	417.0	0.35	0.445374363078	1.2751687592124152	no
142	1.3	417.0	0.4	0.443561528644	1.4455572711857823	no
289	2.0	232.0	0.15	0.4518334636124424	0.06658326997380691	yes
290	2.0	232.0	0.2	0.447196931074	0.09644505235976254	no
291	2.0	232.0	0.25	0.444042866072	0.13089551471330768	no
292	2.0	232.0	0.3	0.44156924304600004	0.16353430428254492	no
293	2.0	232.0	0.35	0.439461188236	0.1949684011950345	no
294	2.0	232.0	0.4	0.437683643543	0.22551971610136354	no
367	2.3	137.0	0.45	0.5114776823849134	0.1283796353838035	yes
764	4.0	421.0	0.35	0.7049724202161707	0.10858567369917232	yes
765	4.0	421.0	0.4	0.7037767887256191	0.12386293707076318	yes
766	4.0	421.0	0.5	0.7014276386230001	0.15742001065269104	no
767	4.0	421.0	0.55	0.7300171272949281	0.13291684429676517	no
768	4.0	421.0	0.6	0.734524715621815	0.12569648248511758	no
769	4.0	421.0	0.7	0.7437868664962737	0.12171393483419583	no
868	5.0	459.0	0.75	0.9182616543666684	0.11380777885366787	no
869	5.0	459.0	0.8	0.9239882488977963	0.11349464806359481	no
872	5.0	793.0	0.25	0.8454085961638343	0.09087736764184758	yes
873	5.0	793.0	0.3	0.84095010075	0.10880023526567506	no
874	5.0	793.0	0.4	0.840923179156	0.17313339879937317	no
875	5.0	793.0	0.5	0.8408215860690001	0.2332031355716603	no
876	5.0	793.0	0.55	0.8590832443172495	0.15592424634986732	yes
877	5.0	793.0	0.65	0.8785492329598003	0.1191683190819159	no
878	5.0	793.0	0.75	0.8878031613025641	0.11673252911957648	no
879	5.0	793.0	0.8	0.8922126290899729	0.11762586812004275	no
974	6.0	888.0	0.45	0.8878933130946032	0.13920523373337879	yes
975	6.0	888.0	0.5	0.88742335166	0.1614896420930081	no
976	6.0	888.0	0.6	0.9175738706740363	0.12562034832496632	no
977	6.0	888.0	0.7	0.9268529622472396	0.11490785567630372	no
978	6.0	888.0	0.8	0.9362077344323173	0.11408890204434056	no
979	6.0	888.0	0.85	0.9407889008845616	0.11423579000162346	no
1075	7.0	1009.0	0.55	0.9381366641324996	0.16154912826483925	yes
1077	7.0	1009.0	0.75	0.9820887933046369	0.11229748392589924	no
1078	7.0	1009.0	0.8	0.9867511995033343	0.1119142827959251	no
1079	7.0	1009.0	0.9	0.9958352928534618	0.11213186444839598	no
1179	8.0	1157.0	0.95	1.0559194422671208	0.11085155677935339	no
1389	10.0	2919.0	1.15	1.16075718175	0.5659311704621914	no
